dataset_name,model,alpha_precision,beta_recall,authenticity
dresses-sales,VAE,0.705584642233857,0.5610820244328096,0.4869109947643979
dresses-sales,TensorContracted,0.768760907504363,0.5321116928446772,0.4712041884816754
dresses-sales,TensorConFormer,0.8664801107299753,0.449912739965096,0.5471204188481675
dresses-sales,Transformed,0.9223445868688692,0.4233856893542758,0.5785340314136126
dresses-sales,TensorConFormerEnc,0.7616055846422338,0.5532286212914486,0.4712041884816754
dresses-sales,TensorConFormerDec,0.8849912739965096,0.4701570680628272,0.5706806282722513
kc2,VAE,0.6601513313694911,0.0730318257956449,0.6080402010050251
kc2,TensorContracted,0.7601802114018368,0.0902847571189279,0.5804020100502513
kc2,TensorConFormer,0.6368509212730319,0.2195979899497487,0.6331658291457286
kc2,Transformed,0.7184254606365159,0.0383584589614739,0.8316582914572864
kc2,TensorConFormerEnc,0.6902154450412983,0.088107202680067,0.6130653266331658
kc2,TensorConFormerDec,0.6314907872696818,0.312395309882747,0.592964824120603
cylinder-bands,VAE,0.4757062146892655,0.3242937853107345,0.6174334140435835
cylinder-bands,TensorContracted,0.6782889426957224,0.3244552058111378,0.6513317191283293
cylinder-bands,TensorConFormer,0.5443099273607748,0.3199354317998387,0.6271186440677966
cylinder-bands,Transformed,0.8461662631154157,0.173042776432607,0.7578692493946732
cylinder-bands,TensorConFormerEnc,0.5991928974979822,0.2936238902340596,0.7142857142857143
cylinder-bands,TensorConFormerDec,0.5772397094430994,0.2464891041162228,0.6682808716707022
climate-model-simulation-crashes,VAE,0.6127522195318804,0.6472962066182406,0.4019370460048426
climate-model-simulation-crashes,TensorContracted,0.837772397094431,0.5556093623890234,0.4576271186440678
climate-model-simulation-crashes,TensorConFormer,0.6185633575464085,0.6238902340597257,0.3898305084745763
climate-model-simulation-crashes,Transformed,0.7354317998385795,0.43454398708636,0.5738498789346247
climate-model-simulation-crashes,TensorConFormerEnc,0.3964487489911217,0.7071832122679581,0.3535108958837772
climate-model-simulation-crashes,TensorConFormerDec,0.829862792574657,0.5833736884584342,0.4697336561743341
wdbc,VAE,0.6242145593869732,0.4789272030651341,0.4827586206896552
wdbc,TensorContracted,0.8583908045977011,0.4554789272030651,0.5011494252873563
wdbc,TensorConFormer,0.5521839080459772,0.4568582375478928,0.5586206896551724
wdbc,Transformed,0.1184674329501915,0.3851340996168582,0.6
wdbc,TensorConFormerEnc,0.764904214559387,0.540536398467433,0.5402298850574713
wdbc,TensorConFormerDec,0.8490421455938697,0.520919540229885,0.5057471264367817
ilpd,VAE,0.5594007490636703,0.3794756554307116,0.6134831460674157
ilpd,TensorContracted,0.9413457316285676,0.4008988764044943,0.5573033707865168
ilpd,TensorConFormer,0.5608988764044944,0.3680898876404495,0.6359550561797753
ilpd,Transformed,0.7938576779026217,0.3946067415730339,0.6
ilpd,TensorConFormerEnc,0.7020224719101124,0.3697378277153559,0.6134831460674157
ilpd,TensorConFormerDec,0.8170786516853933,0.4832958801498128,0.5752808988764045
balance-scale,VAE,0.6803633822501747,0.6566037735849057,0.2473794549266247
balance-scale,TensorContracted,0.5014675052410901,0.4243186582809225,0.4255765199161425
balance-scale,TensorConFormer,0.957184510470132,0.7467505241090147,0.1928721174004193
balance-scale,Transformed,0.7246680642907057,0.8078266946191475,0.2096436058700209
balance-scale,TensorConFormerEnc,0.6167714884696016,0.5842068483577918,0.310272536687631
balance-scale,TensorConFormerDec,0.5849056603773586,0.5682739343116703,0.3563941299790356
credit-approval,VAE,0.8228969006957622,0.4676786843769766,0.540796963946869
credit-approval,TensorContracted,0.8999323867478025,0.3954459203036052,0.6166982922201139
credit-approval,TensorConFormer,0.813662239089184,0.49146110056926,0.5294117647058824
credit-approval,Transformed,0.9263451765578312,0.3753320683111953,0.6053130929791272
credit-approval,TensorConFormerEnc,0.9757595585508954,0.39898798228969,0.5882352941176471
credit-approval,TensorConFormerDec,0.8805775480381252,0.4452877925363694,0.538899430740038
breast-w,VAE,0.7081406862112016,0.3453183520599251,0.5636704119850188
breast-w,TensorContracted,0.6235955056179776,0.2309612983770286,0.5374531835205992
breast-w,TensorConFormer,0.9236600800723234,0.5196004993757803,0.5430711610486891
