dataset_name,model,accuracy_syn_test,accuracy_train_test,fidelity
dresses-sales,VAE,0.54,0.64,0.62
dresses-sales,TensorContracted,0.64,0.64,0.72
dresses-sales,TensorConFormer,0.62,0.64,0.74
dresses-sales,Transformed,0.66,0.64,0.74
dresses-sales,TensorConFormerEnc,0.6,0.64,0.72
dresses-sales,TensorConFormerDec,0.54,0.64,0.74
kc2,VAE,0.8113207547169812,0.7924528301886793,0.7547169811320755
kc2,TensorContracted,0.7924528301886793,0.7924528301886793,0.8113207547169812
kc2,TensorConFormer,0.7547169811320755,0.7924528301886793,0.6981132075471698
kc2,Transformed,0.8490566037735849,0.7924528301886793,0.8679245283018868
kc2,TensorConFormerEnc,0.7547169811320755,0.7924528301886793,0.660377358490566
kc2,TensorConFormerDec,0.7924528301886793,0.7924528301886793,0.7735849056603774
cylinder-bands,VAE,0.5925925925925926,0.8333333333333334,0.6111111111111112
cylinder-bands,TensorContracted,0.6851851851851852,0.8333333333333334,0.6666666666666666
cylinder-bands,TensorConFormer,0.7407407407407407,0.8333333333333334,0.7962962962962963
cylinder-bands,Transformed,0.6666666666666666,0.8333333333333334,0.7222222222222222
cylinder-bands,TensorConFormerEnc,0.7592592592592593,0.8333333333333334,0.7777777777777778
cylinder-bands,TensorConFormerDec,0.7222222222222222,0.8333333333333334,0.7777777777777778
climate-model-simulation-crashes,VAE,0.9074074074074074,0.9629629629629629,0.9074074074074074
climate-model-simulation-crashes,TensorContracted,0.8888888888888888,0.9629629629629629,0.9259259259259259
climate-model-simulation-crashes,TensorConFormer,0.9074074074074074,0.9629629629629629,0.9444444444444444
climate-model-simulation-crashes,Transformed,0.9074074074074074,0.9629629629629629,0.9074074074074074
climate-model-simulation-crashes,TensorConFormerEnc,0.8703703703703703,0.9629629629629629,0.9074074074074074
climate-model-simulation-crashes,TensorConFormerDec,0.8703703703703703,0.9629629629629629,0.9074074074074074
wdbc,VAE,0.9824561403508771,0.9824561403508771,0.9649122807017544
wdbc,TensorContracted,0.9473684210526315,0.9824561403508771,0.9298245614035088
wdbc,TensorConFormer,0.9473684210526315,0.9824561403508771,0.9649122807017544
wdbc,Transformed,0.9122807017543859,0.9824561403508771,0.8947368421052632
wdbc,TensorConFormerEnc,0.9473684210526315,0.9824561403508771,0.9298245614035088
wdbc,TensorConFormerDec,0.9824561403508771,0.9824561403508771,0.9649122807017544
ilpd,VAE,0.6949152542372882,0.6949152542372882,0.7288135593220338
ilpd,TensorContracted,0.6779661016949152,0.6949152542372882,0.8135593220338984
ilpd,TensorConFormer,0.7457627118644068,0.6949152542372882,0.6779661016949152
ilpd,Transformed,0.6779661016949152,0.6949152542372882,0.7457627118644068
ilpd,TensorConFormerEnc,0.711864406779661,0.6949152542372882,0.6779661016949152
ilpd,TensorConFormerDec,0.6949152542372882,0.6949152542372882,0.7288135593220338
balance-scale,VAE,0.746031746031746,0.9047619047619048,0.746031746031746
balance-scale,TensorContracted,0.7142857142857143,0.9047619047619048,0.7142857142857143
balance-scale,TensorConFormer,0.7777777777777778,0.9047619047619048,0.7777777777777778
balance-scale,Transformed,0.5079365079365079,0.9047619047619048,0.5396825396825397
balance-scale,TensorConFormerEnc,0.7936507936507936,0.9047619047619048,0.7777777777777778
balance-scale,TensorConFormerDec,0.7936507936507936,0.9047619047619048,0.7619047619047619
