dataset_name,model,marginal,pairs-correlation,data-validity,data-struct
dresses-sales,VAE,0.9018324607329844,0.820918610185626,1.0,1.0
dresses-sales,TensorContracted,0.8789267015706806,0.7701094716801524,1.0,1.0
dresses-sales,TensorConFormer,0.8808900523560209,0.7959701729335238,1.0,1.0
dresses-sales,Transformed,0.8322425828970332,0.7155719498651436,1.0,1.0
dresses-sales,TensorConFormerEnc,0.8944153577661432,0.8041012216404886,1.0,1.0
dresses-sales,TensorConFormerDec,0.8896160558464224,0.8069966682532127,1.0,1.0
kc2,VAE,0.7347451543431444,0.8264904133686306,1.0,1.0
kc2,TensorContracted,0.7663316582914571,0.8453445388892455,1.0,1.0
kc2,TensorConFormer,0.7945680784876765,0.9290327410764596,1.0,1.0
kc2,Transformed,0.7933716200047859,0.7715710183476054,1.0,1.0
kc2,TensorConFormerEnc,0.7317540081359177,0.8424864587797926,1.0,1.0
kc2,TensorConFormerDec,0.8174204355108878,0.9441968866017684,1.0,1.0
cylinder-bands,VAE,0.8505015565548253,0.6946584723428042,1.0,1.0
cylinder-bands,TensorContracted,0.8893116568661362,0.790310863662167,1.0,1.0
cylinder-bands,TensorConFormer,0.8588723625043237,0.7703678990894254,1.0,1.0
cylinder-bands,Transformed,0.8814251124178485,0.8301785744404603,1.0,1.0
cylinder-bands,TensorConFormerEnc,0.8776202006226218,0.7446299082091586,1.0,1.0
cylinder-bands,TensorConFormerDec,0.8556208924247666,0.7452837577893399,1.0,1.0
climate-model-simulation-crashes,VAE,0.939601829432338,0.9777627347957376,1.0,1.0
climate-model-simulation-crashes,TensorContracted,0.945386064030132,0.9761233608471516,1.0,1.0
climate-model-simulation-crashes,TensorConFormer,0.9344901802528922,0.97707636715811,1.0,1.0
climate-model-simulation-crashes,Transformed,0.9354317998385796,0.9761653493957664,1.0,1.0
climate-model-simulation-crashes,TensorConFormerEnc,0.914043583535109,0.9742707854155772,1.0,1.0
climate-model-simulation-crashes,TensorConFormerDec,0.9490180252892118,0.9782101758411972,1.0,1.0
wdbc,VAE,0.8920306513409959,0.9623445518433708,1.0,1.0
wdbc,TensorContracted,0.9288122605363984,0.968029286976884,1.0,1.0
wdbc,TensorConFormer,0.8574712643678161,0.9185322487303136,1.0,1.0
wdbc,Transformed,0.768582375478927,0.9450917980620938,1.0,1.0
wdbc,TensorConFormerEnc,0.9031417624521072,0.9577091440928052,1.0,1.0
wdbc,TensorConFormerDec,0.9134099616858236,0.9601276448543352,1.0,1.0
ilpd,VAE,0.8584269662921349,0.9340821642461524,1.0,1.0
ilpd,TensorContracted,0.9157303370786516,0.9485844428059788,1.0,1.0
ilpd,TensorConFormer,0.8397752808988764,0.9294665165327536,1.0,1.0
ilpd,Transformed,0.8833707865168539,0.9066459147794002,1.0,1.0
ilpd,TensorConFormerEnc,0.8703370786516853,0.9252270965497932,1.0,1.0
ilpd,TensorConFormerDec,0.9096629213483146,0.9430864267535682,1.0,1.0
balance-scale,VAE,0.8642557651991615,0.9677650200342672,1.0,1.0
balance-scale,TensorContracted,0.8060796645702306,0.9434719608969044,1.0,1.0
balance-scale,TensorConFormer,0.8930817610062893,0.98001975402723,1.0,1.0
balance-scale,Transformed,0.8831236897274632,0.9765478393385164,1.0,1.0
balance-scale,TensorConFormerEnc,0.8333333333333334,0.9280321898460508,1.0,1.0
balance-scale,TensorConFormerDec,0.8228511530398323,0.938699853612439,1.0,1.0
credit-approval,VAE,0.8655281467425681,0.8734743116954209,1.0,1.0
credit-approval,TensorContracted,0.8746363061353573,0.8609385021249624,1.0,1.0
credit-approval,TensorConFormer,0.8938646426312462,0.8780609293636589,1.0,1.0
credit-approval,Transformed,0.8981657179000632,0.8768711467711592,1.0,1.0
credit-approval,TensorConFormerEnc,0.8939911448450347,0.886571151927745,1.0,1.0
credit-approval,TensorConFormerDec,0.9091714104996836,0.8820988597119089,1.0,1.0
breast-w,VAE,0.7690387016229714,0.8152759270980839,1.0,1.0
breast-w,TensorContracted,0.7850603412401165,0.9248854232552184,1.0,1.0
breast-w,TensorConFormer,0.901165210153974,0.949707772430813,1.0,1.0
breast-w,Transformed,0.7871410736579275,0.7216283300346356,1.0,1.0
breast-w,TensorConFormerEnc,0.7698709945900958,0.9067618640384824,1.0,1.0
breast-w,TensorConFormerDec,0.8982521847690386,0.9713299675845336,1.0,1.0
eucalyptus,VAE,0.869638509084098,0.8021605956307664,1.0,1.0
eucalyptus,TensorContracted,0.8779734032590373,0.79987649632601,1.0,1.0
eucalyptus,TensorConFormer,0.8676718486607979,0.7719290333550994,1.0,1.0
eucalyptus,Transformed,0.7780483236561154,0.7364624254689269,1.0,1.0
eucalyptus,TensorConFormerEnc,0.8716988200037461,0.7757242281504141,1.0,1.0
eucalyptus,TensorConFormerDec,0.8787226072298182,0.7865956297111588,1.0,1.0
blood-transfusion-service-center,VAE,0.8763111888111887,0.9108620050936906,1.0,1.0
blood-transfusion-service-center,TensorContracted,0.853583916083916,0.9479980203120628,1.0,1.0
blood-transfusion-service-center,TensorConFormer,0.8710664335664335,0.9683078735584932,1.0,1.0
blood-transfusion-service-center,Transformed,0.8500874125874126,0.9073966374511588,1.0,1.0
blood-transfusion-service-center,TensorConFormerEnc,0.8378496503496504,0.916532316177913,1.0,1.0
blood-transfusion-service-center,TensorConFormerDec,0.9060314685314684,0.9732557120570948,1.0,1.0
diabetes,VAE,0.8475298126064736,0.9411423413074016,1.0,1.0
diabetes,TensorContracted,0.848594548551959,0.9646308817768104,1.0,1.0
diabetes,TensorConFormer,0.8590289608177172,0.9575590470535412,1.0,1.0
diabetes,Transformed,0.8794718909710392,0.9327140444338474,1.0,1.0
diabetes,TensorConFormerEnc,0.8413543441226575,0.9539798350027124,1.0,1.0
diabetes,TensorConFormerDec,0.926320272572402,0.9618942921781318,1.0,1.0
analcatdata_dmft,VAE,0.9601806239737274,0.8924466338259442,1.0,1.0
analcatdata_dmft,TensorContracted,0.9310344827586208,0.8503010399562124,1.0,1.0
analcatdata_dmft,TensorConFormer,0.9125615763546798,0.836343732895457,1.0,1.0
analcatdata_dmft,Transformed,0.84688013136289,0.7326217843459223,1.0,1.0
analcatdata_dmft,TensorConFormerEnc,0.9092775041050905,0.8221127531472359,1.0,1.0
analcatdata_dmft,TensorConFormerDec,0.9322660098522167,0.8511220580186096,1.0,1.0
analcatdata_authorship,VAE,0.8450600801068092,0.9694238290270892,1.0,1.0
analcatdata_authorship,TensorContracted,0.8486203827325323,0.970639707980286,1.0,1.0
analcatdata_authorship,TensorConFormer,0.8497107254116602,0.9630560709487278,1.0,1.0
analcatdata_authorship,Transformed,0.8752113929684023,0.9280701282625476,1.0,1.0
analcatdata_authorship,TensorConFormerEnc,0.8453716065865599,0.9692825972174748,1.0,1.0
analcatdata_authorship,TensorConFormerDec,0.8489764129951045,0.9596348290695628,1.0,1.0
vehicle,VAE,0.8681630546955623,0.9455697067932172,1.0,1.0
vehicle,TensorContracted,0.8997248022015825,0.9515412350847792,1.0,1.0
vehicle,TensorConFormer,0.9002407980736155,0.955324795641592,1.0,1.0
vehicle,Transformed,0.8470072239422086,0.9349448983680948,1.0,1.0
vehicle,TensorConFormerEnc,0.8986928104575163,0.9639321640239216,1.0,1.0
vehicle,TensorConFormerDec,0.8956828345373236,0.9604832581660128,1.0,1.0
tic-tac-toe,VAE,0.9726775956284152,0.9379553734061932,1.0,1.0
tic-tac-toe,TensorContracted,0.9691863995142684,0.9343123861566484,1.0,1.0
tic-tac-toe,TensorConFormer,0.9784456587735276,0.942888585306618,1.0,1.0
tic-tac-toe,Transformed,0.8723436551305404,0.8290072859744992,1.0,1.0
tic-tac-toe,TensorConFormerEnc,0.9681238615664848,0.9352990285367334,1.0,1.0
tic-tac-toe,TensorConFormerDec,0.97040072859745,0.9287340619307832,1.0,1.0
vowel,VAE,0.9182078379568472,0.9118710130538488,1.0,1.0
vowel,TensorContracted,0.9251431087626596,0.8991621849616516,1.0,1.0
vowel,TensorConFormer,0.8966314398943198,0.8762188088065388,1.0,1.0
vowel,Transformed,0.9222809335094672,0.8730635219875954,1.0,1.0
vowel,TensorConFormerEnc,0.9101717305151916,0.8938159335352666,1.0,1.0
vowel,TensorConFormerDec,0.9270145310435932,0.9067023927852568,1.0,1.0
credit-g,VAE,0.9223529411764704,0.8702105489452914,1.0,1.0
credit-g,TensorContracted,0.9052941176470588,0.8503096361743626,1.0,1.0
credit-g,TensorConFormer,0.9244444444444444,0.8736625727586266,1.0,1.0
credit-g,Transformed,0.9058169934640524,0.8366521906258646,1.0,1.0
credit-g,TensorConFormerEnc,0.9054901960784314,0.8453273902278221,1.0,1.0
credit-g,TensorConFormerDec,0.9377777777777778,0.8819753829628949,1.0,1.0
qsar-biodeg,VAE,0.8361072444471344,0.947152426995354,1.0,1.0
qsar-biodeg,TensorContracted,0.8295406403195547,0.948443342437668,1.0,1.0
qsar-biodeg,TensorConFormer,0.865339224111844,0.9527280198544192,1.0,1.0
qsar-biodeg,Transformed,0.8756884343036979,0.925270139607186,1.0,1.0
qsar-biodeg,TensorConFormerEnc,0.8260909035889366,0.93736140991351,1.0,1.0
qsar-biodeg,TensorConFormerDec,0.8964473763844337,0.959982021703376,1.0,1.0
MiceProtein,VAE,0.8923304298606959,0.9632671929198232,1.0,1.0
MiceProtein,TensorContracted,0.9085406119304424,0.9684390427803748,1.0,1.0
MiceProtein,TensorConFormer,0.9014181943964026,0.9624850630714742,1.0,1.0
MiceProtein,Transformed,0.7740322631363794,0.9274801450106795,1.0,1.0
MiceProtein,TensorConFormerEnc,0.8918273010282696,0.9614259029954092,1.0,1.0
MiceProtein,TensorConFormerDec,0.902188610421056,0.96274508543587,1.0,1.0
pc1,VAE,0.8528751123090746,0.9177886067852894,1.0,1.0
pc1,TensorContracted,0.8354672057502247,0.9114627488669748,1.0,1.0
pc1,TensorConFormer,0.7952044025157231,0.9405608327381833,1.0,1.0
pc1,Transformed,0.8653414195867027,0.8535361994876063,1.0,1.0
pc1,TensorConFormerEnc,0.8072214734950585,0.8864830148940616,1.0,1.0
pc1,TensorConFormerDec,0.8702830188679246,0.9165202581357836,1.0,1.0
banknote-authentication,VAE,0.9315362595419848,0.970170594712754,1.0,1.0
banknote-authentication,TensorContracted,0.942986641221374,0.9811107445666668,1.0,1.0
banknote-authentication,TensorConFormer,0.942986641221374,0.9750228891671324,1.0,1.0
banknote-authentication,Transformed,0.9413167938931298,0.8992497970213531,1.0,1.0
banknote-authentication,TensorConFormerEnc,0.9351145038167938,0.9529267271681392,1.0,1.0
banknote-authentication,TensorConFormerDec,0.942986641221374,0.9703792981962464,1.0,1.0
pc4,VAE,0.787128832868743,0.9310898524757008,1.0,1.0
pc4,TensorContracted,0.7930190279966066,0.9288350428843968,1.0,1.0
pc4,TensorConFormer,0.8567446370136953,0.948568922685999,1.0,1.0
pc4,Transformed,0.8032480911404678,0.8840395984962854,1.0,1.0
pc4,TensorConFormerEnc,0.7918555326627075,0.926757411004792,1.0,1.0
pc4,TensorConFormerDec,0.8568415949581869,0.9452864534453924,1.0,1.0
cmc,VAE,0.9466153542530096,0.8887956334807249,1.0,1.0
cmc,TensorContracted,0.9496743635287151,0.902460301714457,1.0,1.0
cmc,TensorConFormer,0.948884941780146,0.8988847622186937,1.0,1.0
cmc,Transformed,0.9411880797315963,0.8755452897905389,1.0,1.0
cmc,TensorConFormerEnc,0.9412867574501678,0.8947724000556665,1.0,1.0
